,justiceName,justiceAbbrev,yearsOnCourt,MQ
5,Justice Hugo Black (1937 - 1971),HLBlack,1937 - 1971,-1.2894008059516404
4,Justice Stanley Forman Reed (1938 - 1957),SFReed,1938 - 1957,1.000628054298641
3,Justice Felix Frankfurter (1939 - 1962),FFrankfurter,1939 - 1962,0.9165531686358541
2,Justice William O. Douglas (1939 - 1975),WODouglas,1939 - 1975,-5.5697025575446455
7,Justice Frank Murphy (1940 - 1949),FMurphy,1940 - 1949,-1.6629704301075257
6,Justice Wiley Blount Rutledge (1941 - 1954),WBRutledge,1941 - 1954,-1.6675295698924777
1,Justice Robert H. Jackson (1941 - 1954),RHJackson,1941 - 1954,0.9773573085846864
0,Justice Harold Hitz Burton (1945 - 1958),HHBurton,1945 - 1958,1.024333582089539
8,Chief Justice Fred M. Vinson (1946 - 1953),FMVinson,1946 - 1953,0.9944471649484501
10,Justice Sherman Minton (1949 - 1956),SMinton,1949 - 1956,1.1439067055393533
9,Justice Tom C. Clark (1949 - 1967),TCClark,1949 - 1967,0.4256764968722219
11,Chief Justice Earl Warren (1953 - 1969),EWarren,1953 - 1969,-1.3105990783410197
12,Justice John Marshall Harlan (1955 - 1971),JHarlan2,1955 - 1971,1.67403546712799
15,Justice Potter Stewart (1956 - 1981),PStewart,1956 - 1981,0.3884284499858393
13,"Justice William J. Brennan, Jr. (1956 - 1990)",WJBrennan,1956 - 1990,-1.810589640672708
14,Justice Charles Evan Whittaker (1957 - 1962),CEWhittaker,1957 - 1962,1.183904831625178
17,Justice Arthur Goldberg (1962 - 1965),AJGoldberg,1962 - 1965,-1.1019032258064487
16,Justice Byron White (1962 - 1993),BRWhite,1962 - 1993,0.455692434549586
18,Justice Abe Fortas (1965 - 1969),AFortas,1965 - 1969,-1.3475565217391459
19,Justice Thurgood Marshall (1967 - 1991),TMarshall,1967 - 1991,-2.7938801576872248
20,Chief Justice Warren E. Burger (1969 - 1986),WEBurger,1969 - 1986,1.897800799709241
21,Justice Harry Blackmun (1970 - 1994),HABlackmun,1970 - 1994,0.025337936636876977
23,Chief Justice William Rehnquist (1972 - 1986),WHRehnquist,1972 - 1986,3.2660509123675587
22,Justice F. Powell Jr. (1972 - 1987),LFPowell,1972 - 1987,0.9700400462071938
24,Justice John Paul Stevens (1975 - 2010),JPStevens,1975 - 2010,-1.4442983253588384
25,Justice Sandra Day OConnor (1981 - 2006),SDOConnor,1981 - 2006,1.1698681626928225
26,Justice Antonin Scalia (1986 - 2016),AScalia,1986 - 2016,2.4743695652173727
27,Justice Anthony Kennedy (1988 - 2018),AMKennedy,1988 - 2018,0.7533250620347326
28,Justice David Souter (1990 - 2009),DHSouter,1990 - 2009,-0.6551002331002334
29,Justice Clarence Thomas (1991 - Present),CThomas,1991 - Present,3.5858963085856534
30,Justice Ruth Bader Ginsburg (1993 - 2020),RBGinsburg,1993 - 2020,-1.6549219108865403
31,Justice Stephen Breyer (1994 - Present),SGBreyer,1994 - Present,-1.1990850552618868
32,Chief Justice John Roberts (2005 - Present),JGRoberts,2005 - Present,0.9667915194346269
33,Justice Samuel Alito (2006 - Present),SAAlito,2006 - Present,1.8188056057866135
34,Justice Sonia Sotomayor (2009 - Present),SSotomayor,2009 - Present,-2.6130317848410725
35,Justice Elena Kagan (2010 - Present),EKagan,2010 - Present,-1.5771157024793387
36,Justice Neil Gorsuch (2017 - Present),NMGorsuch,2017 - Present,0.9756722689075652
37,Justice Brett Kavanaugh (2018 - Present),BMKavanaugh,2018 - Present,0.5435555555555552
